Log at 1427355025
Message is 1234
Start Time	Stop Time	Duration	Average	Variance
22682	22838	78	78	0
22838	22884	23	50	806
22884	23009	62	54	569
23009	23040	15	44	734
23056	23212	78	51	752
23212	23336	62	53	626
23336	23492	78	56	677
23492	23617	62	57	568
23617	23664	23	53	642
23664	23789	62	54	575
23789	23820	15	50	694
23820	23944	62	51	647
23944	23991	23	49	638
23991	24116	62	50	596
24116	24147	15	48	601
24147	24272	62	48	659
24272	24319	23	47	611
24319	24365	23	46	577
24365	24412	23	44	643
24428	24474	23	43	627
